ID,Name,Description,Vegan,Vegetarian,Gluten Free,Contains Nuts,Checked Dietary,Category,Category Description,Brand Name,Modifier Group,Modifier Group Description
23,Individual Bottled Waters,,false,false,false,false,true,Drinks,,Atlantic Catering,,
24,Individual Assorted Sodas,,false,false,false,false,true,Drinks,,Atlantic Catering,,
25,Box of Coffee,with the works,false,false,false,false,true,Drinks,,Atlantic Catering,,
26,Box of Hot Water with Tea Bags,,false,false,false,false,true,Drinks,,Atlantic Catering,,
27,Half Gallon of Orange Juice,,false,false,false,false,true,Drinks,,Atlantic Catering,,
61,Tray of Vegan Mixed Green Salad,"with greens, tomatoes, carrots, and house vinaigrette",true,false,true,false,true,Sides,,S'MAC,,
62,House Baked Cookie,,false,false,false,false,true,Desserts,,S'MAC,,
63,Individual Assorted Sodas,,false,false,false,false,true,Drinks,,S'MAC,,
64,Individual Bottled Waters,,false,false,false,false,true,Drinks,,S'MAC,,
65,Individual Bottled Waters,,false,false,false,false,true,Drinks,,The Picnic Basket,,
66,Individual Bottled Soda,Assorted flavors,false,false,false,false,true,Drinks,,The Picnic Basket,,
67,Catering Bowl of Garden Greens Salad,"Fresh mixed greens, tomatoes, cucumbers, grated carrots, roasted cashews, side of balsamic vinaigrette",true,false,true,true,true,Sides,,The Picnic Basket,,
68,Catering Bowl of Goat Cheese Salad,"Fresh mixed greens, tomatoes, fresh pears, dried cranberries, beets, black sesame seeds, roasted almond, side of balsamic vinaigrette",false,true,true,true,true,Sides,,The Picnic Basket,,
69,Bag of Chips,Dirty potato chips,false,false,false,false,true,Sides,,The Picnic Basket,,
71,Assorted Homemade Cookies,,false,true,false,false,true,Desserts,,The Picnic Basket,,
74,Bottled water,,false,false,false,false,true,Drinks,,Jose's Torta Mexicana,,
75,Soda,,false,false,false,false,true,Drinks,,Jose's Torta Mexicana,,
76,Jarritos Mexican Soda,,false,false,false,false,true,Drinks,,Jose's Torta Mexicana,,
77,Individual Bottled Waters,,false,false,false,false,true,Drinks,,PI Bakerie and Eatery,,
78,Apple Juice,,false,false,false,false,true,Drinks,,PI Bakerie and Eatery,,
79,Box of Coffee,"with the works (cups, creamers, sugars etc.)",false,false,false,false,true,Drinks,,PI Bakerie and Eatery,,
80,Box of Hot Water with Tea Bags,with the works,false,false,false,false,true,Drinks,,PI Bakerie and Eatery,,
81,Pitcher of Fresh Squeezed OJ,,false,false,false,false,true,Drinks,,PI Bakerie and Eatery,,
82,Individual Bottled Waters,,false,false,false,false,true,Drinks,,Kimchi Grill,,
83,Individual Assorted Sodas,,false,false,false,false,true,Drinks,,Kimchi Grill,,
96,Bottle of Spring water,,false,false,false,false,true,Drinks,,Perfect Picnic,,
97,Bottle of Sparkling Water,,false,false,false,false,true,Drinks,,Perfect Picnic,,
98,Individual Order of Seasonal Salad,,true,false,true,false,true,Salads,,Perfect Picnic,,
99,Platter of Veggie Crudité,﻿Fresh seasonal vegetables with dip,false,true,true,false,true,Sides,,Perfect Picnic,,
100,Fresh Chocolate Chip Cookie,,false,true,false,false,true,Desserts,,Perfect Picnic,,
101,Order of Sea Salt Brownie,,false,true,false,false,true,Desserts,,Perfect Picnic,,
102,Family Bowl of Greek Salad,,false,true,true,false,true,Salads,,Perfect Picnic,,
103,Family Bowl of Kale Salad,"with parmesan, cranberries and lemon",false,true,true,false,true,Salads,,Perfect Picnic,,
117,Individual Bottled Waters,,false,false,false,false,true,Drinks,,ORIENTAL Catering,,
118,Individual Assorted Sodas,,false,false,false,false,true,Drinks,,ORIENTAL Catering,,
119,Order of Pork Dumplings,,false,false,false,false,true,Sides,,ORIENTAL Catering,,
120,Order of Chicken Dumplings,,false,false,false,false,true,Sides,,ORIENTAL Catering,,
121,Order of Veggie Dumplings,,false,true,false,false,true,Sides,,ORIENTAL Catering,,
122,Order of Shrimp Dumplings,,false,false,false,false,true,Sides,,ORIENTAL Catering,,
123,Pork Egg Roll,,false,false,false,false,true,Sides,,ORIENTAL Catering,,
138,Individual Bottled Waters,,false,false,false,false,true,Drinks,,Benvenuto Cafe,,
139,Assorted Soda,,false,false,false,false,true,Drinks,,Benvenuto Cafe,,
140,Box of Coffee,"with the works (cups, creamer, sugar etc)",false,false,false,false,true,Drinks,,Benvenuto Cafe,,
141,Box of Hot Water with Tea Bags,,false,false,false,false,true,Drinks,,Benvenuto Cafe,,
142,Individual Assorted Juices,,false,false,false,false,true,Drinks,,Benvenuto Cafe,,
225,Tray of Baklava,,false,true,false,true,true,Desserts,,PI Bakerie and Eatery,,
226,Platter of Assorted Greek Cookies & Treats,,false,false,false,false,true,Desserts,,PI Bakerie and Eatery,,
227,Tray of Greek Salad,,false,true,false,false,true,Sides,,PI Bakerie and Eatery,,
228,"Tray of Pita, Veggies & Hummus",,true,false,true,false,true,Sides,,PI Bakerie and Eatery,,
229,Platter of Fresh Fruit,,true,false,true,false,true,Desserts,,PI Bakerie and Eatery,,
230,Order of Chips & Guacamole,,true,false,true,false,true,Sides,,Kimchi Grill,,
231,Order of Chips & Kimchi Salsa,,false,true,true,false,true,Sides,,Kimchi Grill,,
232,Order of Chips with Guacamole and Kimchi Salsa,,false,true,true,false,true,Sides,,Kimchi Grill,,
233,Individual Yogurt Parfait,with granola & berries,false,true,false,false,true,Breakfast Sides,,Atlantic Catering,,
234,Platter of Fresh Seasonal Fruit,,true,false,true,false,true,Desserts,,Atlantic Catering,,
235,Serving of Bagel Chips,,true,false,false,false,true,Sides,,Atlantic Catering,,
236,Serving of Grilled Seasonal Veggies,,true,false,true,false,true,Sides,,Atlantic Catering,,
237,Platter of Assorted Cookies & Brownies,,false,true,false,false,true,Desserts,,Atlantic Catering,,
250,Platter of Fruit,,true,false,true,false,true,Desserts,,Benvenuto Cafe,,
251,Platter of Cookies & Brownies,,false,true,false,false,true,Desserts,,Benvenuto Cafe,,
260,Serving of Deluxe Fruit Salad,,true,false,true,false,true,Desserts,,Rolling Out Bakery,,
262,Individual Bottled Waters,,false,false,false,false,true,Drinks,,Rolling Out Bakery,,
263,Assorted Soda,,false,false,false,false,true,Drinks,,Rolling Out Bakery,,
264,Serving of Fruit + Yogurt Parfait,,false,true,false,false,true,Sides,,Rolling Out Bakery,,
265,Individual Assorted Sodas,,false,false,false,false,true,Drinks,,Marvin Gardens Catering,,
266,Individual Bottled Waters,,false,false,false,false,true,Drinks,,Marvin Gardens Catering,,
267,Homemade Cookie,,false,true,false,false,true,Desserts,,Marvin Gardens Catering,,
268,Serving of Fresh Sliced Fruit,,true,false,true,false,true,Desserts,,Marvin Gardens Catering,,
274,Individual Bottled Waters,,false,false,false,false,true,Drinks,,Bijou Catering,,
275,Individual Sodas,,false,false,false,false,true,Drinks,,Bijou Catering,,
282,Tray of Tofu Spring Rolls,Comes with tamarind sauce,true,false,true,false,true,Sides,,Asian Box Bay Area,,
283,Tray of Shrimp Spring Rolls,Comes with peanut sauce,false,false,true,true,true,Sides,,Asian Box Bay Area,,
284,Tray of Green Papaya Salad,,true,false,true,false,true,Sides,,Asian Box Bay Area,,
286,Individual Bottled Waters,,false,false,false,false,true,Drinks,,Spice Kit,,
287,Individual Assorted Sodas,,false,false,false,false,true,Drinks,,Spice Kit,,
315,Veggie Egg Roll,,false,true,false,false,true,Sides,,ORIENTAL Catering,,
316,Coffee Service,"Priced per person - with cups, stirrers, cream, and sugar",false,false,false,false,true,Drinks,,Arguello Catering,,
317,Tea Service,Priced per person - with hot water & tea bags,false,false,false,false,true,Drinks,,Arguello Catering,,
318,Orange Juice,,false,false,false,false,true,Drinks,,Arguello Catering,,
320,Piece of Fresh Whole Fruit,,true,false,true,false,true,Fruit,,Arguello Catering,,
321,Individually Packaged Yogurt,,false,true,true,false,true,Breakfast Sides,,Arguello Catering,,
322,Dozen of Assorted Bagels with Cream Cheese,,false,true,false,false,true,Breakfast Sides,,Arguello Catering,,
323,Dozen of Assorted Danishes and Muffins,,false,true,false,false,true,Breakfast Sides,,Arguello Catering,,
324,Platter of Veggie Crudité,,false,true,true,false,true,Sides,,Benvenuto Cafe,,
325,Tray of Green Salad,,false,true,true,false,true,Sides,,Benvenuto Cafe,,
326,Tray of Penne Pasta Almondine salad,,false,true,false,true,true,Sides,,Benvenuto Cafe,,
327,Tray of Chips,,false,true,true,false,true,Sides,,Benvenuto Cafe,,
329,Box of Coffee,"with all the works (milk, sugar, etc.)",false,false,false,false,true,Drinks,,Marvin Gardens Catering,,
330,Box of Hot Water and Tea Bags,,false,false,false,false,true,Drinks,,Marvin Gardens Catering,,
331,Pitcher of Fresh Squeezed Orange Juice,,true,false,true,false,true,Smoothies and Juices,,Marvin Gardens Catering,,
334,Serving of Vegan Green Side Salad,,true,false,true,false,true,Sides,,Marvin Gardens Catering,,
335,Serving of Side Vegan Pasta Salad,,true,false,false,false,true,Sides,,Marvin Gardens Catering,,
